,,,,,,,
,Produit,Comprimé 50mg,,,,,
,Methode,dosage PA,,,,,
,Analyste,GHAA,,,,,
,,,,,,,
,Linearité sur le principe actif,,,,,,
,Date d'analyse,26/05/2025,,,,,
,,,,,,,
,"Concentration
théorique(Xi)
en %","Concentration
réelle(Xi réel)
en %",Signal (Yi),Moyenne (Yi),Xi',Bj,"Biais
moyen
(%)"
,70,70.26,1069251000,1068722,70.88,100.88,100.02
,,,1065495000,,70.68,100.53,
,,,1071420000,,71.02,101.08,
,90,90.18,1382570000,1366452.667,89.88,99.67,
,,,1368211000,,90.24,100.02,
,,,1368577000,,90.27,100.1,
,100,100.54,1514336000,1515782.667,99.71,99.18,
,,,1516250000,,99.83,99.3,
,,,1516762000,,99.87,99.33,
,110,111.46,1687619000,1686739,110.94,99.53,
,,,1688824000,,111.01,99.6,
,,,1683774000,,110.69,99.31,
,130,130.64,1999269000,2003846.667,131.12,100.37,
,,,2012633000,,131.99,101.03,
,,,1999638000,,131.15,100.39,
,,,,,,,
,Y= a X + b,,,,,,
,a,15436.86795,,,,,
,b,-24887.30555,,,,,
,R,0.999553,,,,,
,b²,0.999107,,,,,
